normalized_form	collision_description
lhbhuman	PR_P01229[hasExactSynonym=LH-B (human)] | gene_symbol_report?hgnc_id=6584[label=LHB (human)]
lhcgrhuman	PR_P22888[hasExactSynonym=LH/CG-R (human)] | gene_symbol_report?hgnc_id=6585[label=LHCGR (human)]
liebenbergsyndrome	MONDO_0008520[hasExactSynonym=Liebenberg syndrome] | Orphanet_1275[hasExactSynonym=Liebenberg syndrome]
lifr	PR_000001876[hasExactSynonym=LIF-R] | PR_000001876[hasExactSynonym=LIFR] | EFO_0010788[hasExactSynonym=LIFR]
lifrhuman	PR_P42702[hasExactSynonym=LIF-R (human)] | gene_symbol_report?hgnc_id=6597[label=LIFR (human)]
lig4syndrome	MONDO_0011686[hasExactSynonym=LIG4 syndrome] | Orphanet_99812[label=LIG4 syndrome]
ligase4syndrome	MONDO_0011686[hasExactSynonym=ligase 4 syndrome] | Orphanet_99812[hasExactSynonym=Ligase 4 syndrome]
limbgirdlemusculardystrophyduetocaveolin3deficiency	MONDO_0019947[hasExactSynonym=limb-girdle muscular dystrophy due to caveolin-3 deficiency] | Orphanet_265[hasExactSynonym=Limb-girdle muscular dystrophy due to caveolin-3 deficiency]
limbgirdlemusculardystrophyduetolaminacdeficiency	MONDO_0021569[hasExactSynonym=limb-girdle muscular dystrophy due to lamin A/C deficiency] | Orphanet_264[hasExactSynonym=Limb-girdle muscular dystrophy due to lamin A/C deficiency]
limbgirdlemusculardystrophywithepidermolysisbullosasimplex	MONDO_0009181[hasExactSynonym=limb-girdle muscular dystrophy with epidermolysis bullosa simplex] | Orphanet_257[hasExactSynonym=Limb-girdle muscular dystrophy with epidermolysis bullosa simplex]
limitedcutaneoussystemicsclerosis	MONDO_0016358[label=limited cutaneous systemic sclerosis] | EFO_1001017[hasExactSynonym=Limited cutaneous systemic sclerosis]
limitedscleroderma	MONDO_0016358[hasExactSynonym=limited scleroderma] | EFO_1001017[label=limited scleroderma]
limk1human	PR_P53667[hasExactSynonym=LIMK-1 (human)] | gene_symbol_report?hgnc_id=6613[label=LIMK1 (human)]
lin28bhuman	PR_Q6ZN17[hasExactSynonym=lin-28B (human)] | gene_symbol_report?hgnc_id=32207[label=LIN28B (human)]
lin7ahuman	PR_O14910[hasExactSynonym=lin-7A (human)] | gene_symbol_report?hgnc_id=17787[label=LIN7A (human)]
lin7bhuman	PR_Q9HAP6[hasExactSynonym=lin-7B (human)] | gene_symbol_report?hgnc_id=17788[label=LIN7B (human)]
lin7chuman	PR_Q9NUP9[hasExactSynonym=lin-7C (human)] | gene_symbol_report?hgnc_id=17789[label=LIN7C (human)]
lindsayburnsyndrome	MONDO_0010235[hasExactSynonym=Lindsay-Burn syndrome] | Orphanet_3077[hasExactSynonym=Lindsay-Burn syndrome]
linearsebaceousnevus	MONDO_0008097[hasExactSynonym=linear sebaceous Nevus] | Orphanet_2612[hasExactSynonym=linear sebaceous Nevus]
linoleate182n6measurement	EFO_0021510[label=linoleate 18:2n6 measurement] | EFO_0800614[label=linoleate (18:2n6) measurement]
lipidstoragedisease	MONDO_0019245[hasExactSynonym=lipid storage disease] | Orphanet_79204[label=Lipid storage disease]
lipoatebiosynthesisdefect	MONDO_0018424[hasExactSynonym=lipoate biosynthesis defect] | Orphanet_401854[hasExactSynonym=Lipoate biosynthesis defect]
lipodystrophy	HP_0009125[label=Lipodystrophy] | EFO_1000727[hasExactSynonym=lipodystrophy] | EFO_1000727[label=lipodystrophy]
lipodystrophycephalothoracictype	MONDO_0100476[hasExactSynonym=lipodystrophy, cephalothoracic type] | EFO_0020027[hasExactSynonym=lipodystrophy, cephalothoracic type]
lipomatousneoplasm	MONDO_0021354[hasExactSynonym=lipomatous neoplasm] | EFO_0000759[hasExactSynonym=lipomatous neoplasm]
lipomatoustumor	MONDO_0021354[hasExactSynonym=lipomatous tumor] | EFO_0000759[hasExactSynonym=lipomatous tumor]
lipomucopolysaccharidosis	MONDO_0019346[hasExactSynonym=lipomucopolysaccharidosis] | Orphanet_812[hasExactSynonym=Lipomucopolysaccharidosis]
lisonsyndrome	MONDO_0010046[hasExactSynonym=Lison syndrome] | Orphanet_101003[hasExactSynonym=Lison syndrome]
lissencephaly	HP_0001339[label=Lissencephaly] | MONDO_0018838[hasExactSynonym=Lissencephaly] | MONDO_0018838[hasExactSynonym=lissencephaly]
lissencephalydueto17p133deletion	MONDO_0009532[hasExactSynonym=lissencephaly due to 17p13.3 deletion] | Orphanet_531[hasExactSynonym=Lissencephaly due to 17p13.3 deletion]
lissencephalysyndromenormanrobertstype	MONDO_0009760[hasExactSynonym=lissencephaly syndrome, Norman-Roberts type] | Orphanet_89844[label=Lissencephaly syndrome, Norman-Roberts type]
liverandintrahepaticbileductcarcinoma	MONDO_0018531[hasExactSynonym=liver and intrahepatic bile duct carcinoma] | EFO_0000182[hasExactSynonym=liver and intrahepatic bile duct carcinoma]
livercancer	HP_0002896[hasExactSynonym=Liver cancer] | MONDO_0002691[hasExactSynonym=liver cancer] | MONDO_0002691[label=liver cancer] | EFO_1001513[hasExactSynonym=liver Cancer]
liverdysfunction	HP_0001410[hasExactSynonym=Liver dysfunction] | EFO_0001421[hasExactSynonym=Liver Dysfunction]
liverfailure	HP_0001399[hasExactSynonym=Liver failure] | MONDO_0100192[label=liver failure]
liverfibrosis	HP_0001395[hasExactSynonym=Liver fibrosis] | EFO_0001422[hasExactSynonym=Liver Fibrosis]
liverhemangioma	HP_0031207[hasExactSynonym=Liver hemangioma] | MONDO_0002404[hasExactSynonym=liver hemangioma] | MONDO_0002404[label=liver hemangioma]
liverneoplasm	MONDO_0024477[hasExactSynonym=liver neoplasm] | EFO_1001513[label=liver neoplasm]
livertumor	HP_0002896[hasExactSynonym=Liver tumor] | MONDO_0024477[hasExactSynonym=liver tumor]
livertumour	HP_0002896[hasExactSynonym=Liver tumour] | MONDO_0024477[hasExactSynonym=liver tumour]
lmo3human	PR_Q8TAP4[hasExactSynonym=LMO-3 (human)] | gene_symbol_report?hgnc_id=6643[label=LMO3 (human)]
lmo4human	PR_P61968[hasExactSynonym=LMO-4 (human)] | gene_symbol_report?hgnc_id=6644[label=LMO4 (human)]
lmph3	MONDO_0014797[hasExactSynonym=LMPH3] | EFO_0009153[hasExactSynonym=LMPH3]
lms	MONDO_0009514[hasExactSynonym=LMS] | MONDO_0011334[hasExactSynonym=LMS]
lobsterclawdeformity	MONDO_0016576[hasExactSynonym=lobster-claw deformity] | Orphanet_2440[hasExactSynonym=Lobster-claw deformity]
lobularcarcinoma	EFO_0000553[hasExactSynonym=lobular carcinoma] | EFO_0008509[hasExactSynonym=lobular carcinoma]
localizedepidermolysisbullosasimplex	MONDO_0007551[hasExactSynonym=localized epidermolysis bullosa simplex] | Orphanet_79400[label=Localized epidermolysis bullosa simplex]
localizedscleroderma	EFO_1001361[hasExactSynonym=localized scleroderma] | EFO_1001993[hasExactSynonym=localized scleroderma]
locsyndrome	MONDO_0009513[hasExactSynonym=LOC syndrome] | Orphanet_2407[label=LOC syndrome]
logicsyndrome	MONDO_0009513[hasExactSynonym=logic syndrome] | Orphanet_2407[hasExactSynonym=LOGIC syndrome]
longmantolmiesyndrome	MONDO_0012035[hasExactSynonym=Longman-Tolmie syndrome] | Orphanet_52054[hasExactSynonym=Longman-Tolmie syndrome]
longqtsyndrome	HP_0001657[hasExactSynonym=Long QT syndrome] | MONDO_0019171[hasExactSynonym=Long QT Syndrome]
looseskin	HP_0000973[hasExactSynonym=Loose skin] | MONDO_0016175[hasExactSynonym=loose skin]
lopd	MONDO_0008199[hasExactSynonym=LOPD] | MONDO_0018485[hasExactSynonym=LOPD] | Orphanet_411602[hasExactSynonym=LOPD]
lopesgorlinsyndrome	MONDO_0010855[hasExactSynonym=Lopes-Gorlin syndrome] | Orphanet_2832[hasExactSynonym=Lopes-Gorlin syndrome]
loricrinkeratoderma	MONDO_0011396[hasExactSynonym=loricrin keratoderma] | MONDO_0011396[label=loricrin keratoderma] | Orphanet_79395[hasExactSynonym=Loricrin keratoderma]
louisbarsyndrome	MONDO_0008840[hasExactSynonym=Louis Bar syndrome] | MONDO_0008840[hasExactSynonym=Louis-Bar syndrome] | Orphanet_100[hasExactSynonym=Louis-Bar syndrome]
lowdensitylipoproteinreceptorrelatedprotein1solublemeasurement	EFO_0022031[label=low-density lipoprotein receptor-related protein 1; soluble measurement] | EFO_0801772[label=low-density lipoprotein receptor-related protein 1, soluble measurement]
lowgonadotropinssecondaryhypogonadism	HP_0000044[hasExactSynonym=Low gonadotropins (secondary hypogonadism)] | MONDO_0018555[hasExactSynonym=low gonadotropins (secondary hypogonadism)]
lownganonglevinesyndrome	MONDO_0007174[hasExactSynonym=Lown-Ganong-Levine syndrome] | MONDO_0007174[label=Lown-Ganong-Levine syndrome] | Orphanet_844[hasExactSynonym=Lown-Ganong-Levine syndrome]
lowrysyndrome	MONDO_0009038[hasExactSynonym=Lowry syndrome] | Orphanet_1533[hasExactSynonym=Lowry syndrome]
lowryyongsyndrome	MONDO_0016059[hasExactSynonym=Lowry-Yong syndrome] | Orphanet_2003[hasExactSynonym=Lowry-Yong syndrome]
lp	PR_000014647[hasExactSynonym=LP] | EFO_0007733[hasExactSynonym=LP]
lpcat2human	PR_Q7L5N7[hasExactSynonym=LPCAT-2 (human)] | gene_symbol_report?hgnc_id=26032[label=LPCAT2 (human)]
lpp	MONDO_0015597[hasExactSynonym=LPP] | EFO_0009856[hasExactSynonym=LPP]
lqt7	MONDO_0008222[hasExactSynonym=LQT7] | Orphanet_37553[hasExactSynonym=LQT7]
lrap	PR_000003988[hasExactSynonym=LRAP] | PR_000007156[hasExactSynonym=L-RAP]
lrp10human	PR_Q7Z4F1[hasExactSynonym=LRP-10 (human)] | gene_symbol_report?hgnc_id=14553[label=LRP10 (human)]
lrp11human	PR_Q86VZ4[hasExactSynonym=LRP-11 (human)] | gene_symbol_report?hgnc_id=16936[label=LRP11 (human)]
lrp12human	PR_Q9Y561[hasExactSynonym=LRP-12 (human)] | gene_symbol_report?hgnc_id=31708[label=LRP12 (human)]
lrp1bhuman	PR_Q9NZR2[hasExactSynonym=LRP-1B (human)] | gene_symbol_report?hgnc_id=6693[label=LRP1B (human)]
lrp1human	PR_Q07954[hasExactSynonym=LRP-1 (human)] | gene_symbol_report?hgnc_id=6692[label=LRP1 (human)]
lrp2human	PR_P98164[hasExactSynonym=LRP-2 (human)] | gene_symbol_report?hgnc_id=6694[label=LRP2 (human)]
lrp4human	PR_O75096[hasExactSynonym=LRP-4 (human)] | gene_symbol_report?hgnc_id=6696[label=LRP4 (human)]
lrp5human	PR_O75197[hasExactSynonym=LRP-5 (human)] | gene_symbol_report?hgnc_id=6697[label=LRP5 (human)]
lrp6human	PR_O75581[hasExactSynonym=LRP-6 (human)] | gene_symbol_report?hgnc_id=6698[label=LRP6 (human)]
lrp8human	PR_Q14114[hasExactSynonym=LRP-8 (human)] | gene_symbol_report?hgnc_id=6700[label=LRP8 (human)]
ltbl	MONDO_0013971[hasExactSynonym=LTBL] | Orphanet_314051[hasExactSynonym=LTBL]
ltbp4human	PR_Q8N2S1[hasExactSynonym=LTBP-4 (human)] | gene_symbol_report?hgnc_id=6717[label=LTBP4 (human)]
ltc4synthasedeficiency	MONDO_0013539[hasExactSynonym=LTC4 synthase deficiency] | Orphanet_79507[hasExactSynonym=LTC4 synthase deficiency]
lubanialsalehteebisyndrome	MONDO_0009062[hasExactSynonym=Lubani-Al Saleh-Teebi syndrome] | Orphanet_2575[hasExactSynonym=Lubani-Al Saleh-Teebi syndrome]
lubinskysyndrome	MONDO_0009417[hasExactSynonym=Lubinsky syndrome] | Orphanet_2410[hasExactSynonym=Lubinsky syndrome]
luhya	AfPO_0000405[label=Luhya] | HANCESTRO_0649[hasExactSynonym=Luhya] | HANCESTRO_0666[hasExactSynonym=Luhya]
lumbardiscdegeneration	MONDO_0044339[hasExactSynonym=lumbar Disc Degeneration] | EFO_0004994[label=lumbar disc degeneration]
lumbarspinalstenosis	MONDO_0044753[hasExactSynonym=lumbar spinal stenosis] | MONDO_0044753[label=lumbar spinal stenosis] | EFO_0007490[hasExactSynonym=lumbar spinal stenosis]
lundbergsyndrome	MONDO_0017379[hasExactSynonym=Lundberg syndrome] | Orphanet_2928[hasExactSynonym=Lundberg syndrome]
lungadenocarcinoma	EFO_0000571[hasExactSynonym=lung adenocarcinoma] | EFO_0000571[label=lung adenocarcinoma] | EFO_0005288[hasExactSynonym=Lung Adenocarcinoma]
lungtumor	HP_0100526[hasExactSynonym=Lung tumor] | MONDO_0021117[hasExactSynonym=lung tumor]
lungtumour	HP_0100526[hasExactSynonym=Lung tumour] | MONDO_0021117[hasExactSynonym=lung tumour]
luo	AfPO_0000198[label=Luo] | HANCESTRO_0650[hasExactSynonym=Luo]
lupus	MONDO_0004670[hasExactSynonym=lupus] | MONDO_0007915[hasExactSynonym=Lupus]
luteinizinghormonereleasinghormonedeficiencywithataxia	MONDO_0008935[hasExactSynonym=luteinizing hormone-releasing hormone deficiency with ataxia] | Orphanet_1173[hasExactSynonym=Luteinizing hormone-releasing hormone deficiency with ataxia]
ly6dhuman	PR_Q14210[hasExactSynonym=Ly-6D (human)] | gene_symbol_report?hgnc_id=13348[label=LY6D (human)]
ly75human	PR_000034294[hasExactSynonym=ly-75 (human)] | gene_symbol_report?hgnc_id=6729[label=LY75 (human)]
ly86human	PR_O95711[hasExactSynonym=Ly-86 (human)] | gene_symbol_report?hgnc_id=16837[label=LY86 (human)]
ly96human	PR_Q9Y6Y9[hasExactSynonym=Ly-96 (human)] | gene_symbol_report?hgnc_id=17156[label=LY96 (human)]
lymphadenitis	HP_0002840[label=Lymphadenitis] | MONDO_0002052[hasExactSynonym=lymphadenitis] | MONDO_0002052[label=lymphadenitis]
lymphedema	HP_0001004[label=Lymphedema] | MONDO_0019297[label=lymphedema]
lymphedemahereditaryiii	MONDO_0014797[hasExactSynonym=lymphedema, hereditary, III] | EFO_0009153[label=lymphedema, hereditary, iii]
lymphedemahereditarytypeiii	MONDO_0014797[hasExactSynonym=lymphedema, hereditary, type III] | EFO_0009153[hasExactSynonym=Lymphedema, Hereditary, type III]
lymphocytopenia	HP_0001888[hasExactSynonym=Lymphocytopenia] | MONDO_0003783[hasExactSynonym=lymphocytopenia]
lymphoedema	HP_0001004[hasExactSynonym=Lymphoedema] | MONDO_0019297[hasExactSynonym=lymphoedema]
lymphopenia	HP_0001888[hasExactSynonym=Lymphopenia] | MONDO_0003783[hasExactSynonym=lymphopenia] | MONDO_0003783[label=lymphopenia]
lynchleemurdaysyndrome	MONDO_0015233[hasExactSynonym=Lynch-Lee-Murday syndrome] | Orphanet_1123[hasExactSynonym=Lynch-Lee-Murday syndrome]
lyngstadaassyndrome	MONDO_0017904[hasExactSynonym=Lyngstadaas syndrome] | Orphanet_3196[hasExactSynonym=Lyngstadaas syndrome]
lysophosphatidylcholine160	CHEBI_64563[label=lysophosphatidylcholine 16:0] | EFO_0801241[hasExactSynonym=lysophosphatidylcholine 16:0]
lysophosphatidylcholine170	CHEBI_72737[label=lysophosphatidylcholine 17:0] | EFO_0801242[hasExactSynonym=lysophosphatidylcholine 17:0]
lysophosphatidylcholine280	CHEBI_85561[label=lysophosphatidylcholine 28:0] | EFO_0801243[hasExactSynonym=lysophosphatidylcholine 28:0]
lysophosphatidylcholine281	CHEBI_85562[label=lysophosphatidylcholine 28:1] | EFO_0801244[hasExactSynonym=lysophosphatidylcholine 28:1]
lysosomaldisease	MONDO_0002561[hasExactSynonym=lysosomal disease] | Orphanet_68366[label=Lysosomal disease]
lysosomalmembranecobalamintransporterdeficiency	MONDO_0010183[hasExactSynonym=lysosomal membrane cobalamin transporter deficiency] | Orphanet_79284[hasExactSynonym=Lysosomal membrane cobalamin transporter deficiency]
lysozymeamyloidosis	MONDO_0019732[hasExactSynonym=lysozyme amyloidosis] | Orphanet_93561[hasExactSynonym=Lysozyme amyloidosis]
lyve1human	PR_Q9Y5Y7[hasExactSynonym=LYVE-1 (human)] | gene_symbol_report?hgnc_id=14687[label=LYVE1 (human)]
m	UO_0000008[hasExactSynonym=m] | UO_0000062[hasExactSynonym=M]
m6prhuman	PR_P11717[hasExactSynonym=M6PR (human)] | gene_symbol_report?hgnc_id=6752[label=M6PR (human)]
mac	GO_0005579[hasExactSynonym=MAC] | MONDO_0000170[hasExactSynonym=MAC] | EFO_0005262[hasExactSynonym=MAC]
macdermotpattonwilliamssyndrome	MONDO_0007693[hasExactSynonym=MacDermot-Patton-Williams syndrome] | Orphanet_2220[hasExactSynonym=MacDermot-Patton-Williams syndrome]
macdermotwintersyndrome	MONDO_0009543[hasExactSynonym=MacDermot-Winter syndrome] | Orphanet_2083[hasExactSynonym=Mac Dermot-Winter syndrome]
machadodisease	MONDO_0007182[hasExactSynonym=Machado disease] | Orphanet_98757[hasExactSynonym=Machado disease]
machadojosephdisease	MONDO_0007182[hasExactSynonym=Machado-Joseph disease] | MONDO_0007182[label=Machado-Joseph disease] | Orphanet_98757[hasExactSynonym=Machado-Joseph disease]
mackayshekcarrsyndrome	MONDO_0009978[hasExactSynonym=Mackay-Shek-Carr syndrome] | Orphanet_1574[hasExactSynonym=Mackay-Shek-Carr syndrome]
macroblepharonectropionhypertelorismmacrostomiasyndrome	MONDO_0011255[hasExactSynonym=macroblepharon-ectropion-hypertelorism-macrostomia syndrome] | Orphanet_357158[hasExactSynonym=Macroblepharon - ectropion - hypertelorism - macrostomia syndrome]
macrocalcification	MONDO_0002123[hasExactSynonym=macrocalcification] | EFO_0003837[hasExactSynonym=macrocalcification]
macrophage	CL_0000235[label=macrophage] | FBbt_00001685[hasExactSynonym=macrophage]
macrostomia	HP_0000154[hasExactSynonym=Macrostomia] | MONDO_0013300[hasExactSynonym=macrostomia]
macssyndrome	MONDO_0013115[hasExactSynonym=MACS syndrome] | Orphanet_217335[label=MACS syndrome]
maculardegeneration	HP_0000608[label=Macular degeneration] | EFO_0001365[hasExactSynonym=Macular Degeneration] | EFO_0009606[hasExactSynonym=macular degeneration] | EFO_0009606[label=macular degeneration]
maculardystrophy	HP_0007754[label=Macular dystrophy] | EFO_0001365[hasExactSynonym=Macular Dystrophy]
madcam1human	PR_Q13477[hasExactSynonym=MAdCAM-1 (human)] | gene_symbol_report?hgnc_id=6765[label=MADCAM1 (human)]
madelungsdisease	EFO_1000728[hasExactSynonym=Madelung's disease] | EFO_1000737[hasExactSynonym=Madelung's Disease] | EFO_1000737[hasExactSynonym=Madelung's disease]
maedasyndrome	MONDO_0010829[hasExactSynonym=Maeda syndrome] | Orphanet_199354[hasExactSynonym=Maeda syndrome]
magi2human	PR_Q86UL8[hasExactSynonym=MAGI-2 (human)] | gene_symbol_report?hgnc_id=18957[label=MAGI2 (human)]
maize	NCBITaxon_381124[hasExactSynonym=maize] | NCBITaxon_4577[hasExactSynonym=maize]
majorhyperlipidemia	MONDO_0007762[hasExactSynonym=major hyperlipidemia] | Orphanet_70470[hasExactSynonym=Major hyperlipidemia]
majorsalivaryglandcancer	MONDO_0044743[label=major salivary gland cancer] | EFO_1000344[hasExactSynonym=major salivary gland cancer]
makrani	HANCESTRO_0708[hasExactSynonym=Makrani] | HANCESTRO_0796[hasExactSynonym=Makrani]
malabsorption	HP_0002024[hasExactSynonym=Malabsorption] | HP_0002024[label=Malabsorption] | EFO_0009554[hasExactSynonym=malabsorption]
malattialeventinese	MONDO_0007471[hasExactSynonym=Malattia leventinese] | Orphanet_75376[hasExactSynonym=Malattia leventinese]
maleinfertilityduetolargeheadedmultiflagellarpolyploidspermatozoa	MONDO_0009461[hasExactSynonym=male infertility due to large-headed multiflagellar polyploid spermatozoa] | Orphanet_137893[label=Male infertility due to large-headed multiflagellar polyploid spermatozoa]
malignantadrenocorticaltumor	MONDO_0021312[hasExactSynonym=malignant adrenocortical tumor] | EFO_1000796[hasExactSynonym=malignant adrenocortical tumor]
malignantbloodvesselneoplasm	MONDO_0002095[hasExactSynonym=malignant blood vessel neoplasm] | EFO_0003967[hasExactSynonym=Malignant Blood Vessel Neoplasm]
malignanthyperthermia	HP_0002047[label=Malignant hyperthermia] | MONDO_0018493[hasExactSynonym=malignant hyperthermia]
malignantmeningealneoplasms	MONDO_0021322[hasExactSynonym=malignant meningeal neoplasms] | EFO_0003851[hasExactSynonym=Malignant Meningeal Neoplasms]
malignantmesonephroma	EFO_0000348[hasExactSynonym=malignant Mesonephroma] | EFO_0006719[hasExactSynonym=malignant Mesonephroma] | EFO_0006719[hasExactSynonym=malignant mesonephroma]
malignantmixedcancer	EFO_0007373[hasExactSynonym=malignant mixed cancer] | EFO_1000356[hasExactSynonym=malignant mixed cancer]
malignantmixedneoplasm	EFO_0007373[hasExactSynonym=malignant mixed neoplasm] | EFO_1000356[hasExactSynonym=malignant mixed neoplasm] | EFO_1000356[label=Malignant Mixed Neoplasm]
malignantneoplasmofadrenalcortex	MONDO_0021312[hasExactSynonym=malignant neoplasm of adrenal cortex] | EFO_1000796[hasExactSynonym=malignant neoplasm of adrenal cortex]
malignantneoplasmofparathyroidgland	MONDO_0021311[hasExactSynonym=malignant neoplasm of parathyroid gland] | EFO_1000456[hasExactSynonym=malignant neoplasm of parathyroid gland]
malignantneoplasmofrenalpelvis	MONDO_0044919[hasExactSynonym=malignant neoplasm of renal pelvis] | EFO_0005582[hasExactSynonym=malignant neoplasm of renal pelvis]
malignantneoplasmoftheparathyroid	MONDO_0021311[hasExactSynonym=malignant neoplasm of the parathyroid] | EFO_1000456[hasExactSynonym=malignant neoplasm of the parathyroid]
malignantneurilemoma	EFO_0000693[hasExactSynonym=Malignant Neurilemoma] | EFO_0000760[hasExactSynonym=Malignant Neurilemoma] | EFO_0000760[hasExactSynonym=malignant neurilemoma]
malignantpancreaticendocrinetumor	EFO_0007331[hasExactSynonym=malignant pancreatic Endocrine tumor] | EFO_0007416[hasExactSynonym=malignant pancreatic endocrine tumor]
malignantrenalpelvisneoplasm	MONDO_0044919[hasExactSynonym=malignant renal pelvis neoplasm] | MONDO_0044919[label=malignant renal pelvis neoplasm] | EFO_0005582[hasExactSynonym=malignant renal pelvis neoplasm]
malignantsebaceoustumor	MONDO_0037735[hasExactSynonym=malignant sebaceous tumor] | EFO_1001171[hasExactSynonym=malignant sebaceous tumor]
malignantsofttissuetumor	MONDO_0024637[hasExactSynonym=malignant soft tissue tumor] | EFO_1001968[hasExactSynonym=malignant soft tissue tumor]
malignanttumorofcerebellum	MONDO_0021317[hasExactSynonym=malignant tumor of cerebellum] | EFO_1000858[hasExactSynonym=malignant tumor of Cerebellum]
malnutrition	EFO_0001069[hasExactSynonym=Malnutrition] | EFO_0008572[label=malnutrition] | EFO_1001067[hasExactSynonym=malnutrition]
maloufsyndrome	MONDO_0008915[hasExactSynonym=Malouf syndrome] | Orphanet_2229[hasExactSynonym=Malouf syndrome]
mandenka	HANCESTRO_0636[hasExactSynonym=Mandenka] | HANCESTRO_0651[hasExactSynonym=Mandenka]
mandible	UBERON_0001684[label=mandible] | ZFA_0001273[hasExactSynonym=mandible]
mandibulofacialdysostosiswithpreaxiallimbanomalies	MONDO_0007943[hasExactSynonym=mandibulofacial dysostosis with preaxial limb anomalies] | Orphanet_245[hasExactSynonym=Mandibulofacial dysostosis with preaxial limb anomalies]
mannitol	CHEBI_16899[hasExactSynonym=Mannitol] | CHEBI_16899[hasExactSynonym=mannitol] | CHEBI_29864[hasExactSynonym=mannitol] | CHEBI_29864[label=mannitol]
map	MONDO_0012041[hasExactSynonym=MAP] | EFO_0006340[hasExactSynonym=MAP] | EFO_0009296[hasExactSynonym=MAP]
mapk10human	PR_P53779[hasExactSynonym=MAPK 10 (human)] | gene_symbol_report?hgnc_id=6872[label=MAPK10 (human)]
mapk11human	PR_Q15759[hasExactSynonym=MAPK 11 (human)] | gene_symbol_report?hgnc_id=6873[label=MAPK11 (human)]
mapk12human	PR_P53778[hasExactSynonym=MAPK 12 (human)] | gene_symbol_report?hgnc_id=6874[label=MAPK12 (human)]
mapk13human	PR_O15264[hasExactSynonym=MAPK 13 (human)] | gene_symbol_report?hgnc_id=6875[label=MAPK13 (human)]
mapk14human	PR_Q16539[hasExactSynonym=MAPK 14 (human)] | gene_symbol_report?hgnc_id=6876[label=MAPK14 (human)]
mapk1human	PR_P28482[hasExactSynonym=MAPK 1 (human)] | gene_symbol_report?hgnc_id=6871[label=MAPK1 (human)]
mapk3human	PR_P27361[hasExactSynonym=MAPK 3 (human)] | gene_symbol_report?hgnc_id=6877[label=MAPK3 (human)]
mapk6human	PR_Q16659[hasExactSynonym=MAPK 6 (human)] | gene_symbol_report?hgnc_id=6879[label=MAPK6 (human)]
mapk8human	PR_P45983[hasExactSynonym=MAPK 8 (human)] | gene_symbol_report?hgnc_id=6881[label=MAPK8 (human)]
mapk9human	PR_P45984[hasExactSynonym=MAPK 9 (human)] | gene_symbol_report?hgnc_id=6886[label=MAPK9 (human)]
mapkapk2human	PR_P49137[hasExactSynonym=MAPKAP-K2 (human)] | PR_P49137[hasExactSynonym=MAPKAPK-2 (human)] | gene_symbol_report?hgnc_id=6887[label=MAPKAPK2 (human)]
mapkapk3human	PR_Q16644[hasExactSynonym=MAPKAP-K3 (human)] | PR_Q16644[hasExactSynonym=MAPKAPK-3 (human)] | gene_symbol_report?hgnc_id=6888[label=MAPKAPK3 (human)]
mapkapk5human	PR_Q8IW41[hasExactSynonym=MAPKAP-K5 (human)] | PR_Q8IW41[hasExactSynonym=MAPKAPK-5 (human)] | gene_symbol_report?hgnc_id=6889[label=MAPKAPK5 (human)]
marblebraindisease	MONDO_0009818[hasExactSynonym=marble brain disease] | Orphanet_2785[hasExactSynonym=Marble brain disease]
marcusgunnphenomenon	MONDO_0007946[hasExactSynonym=Marcus Gunn Phenomenon] | MONDO_0007946[hasExactSynonym=Marcus Gunn phenomenon] | MONDO_0007946[hasExactSynonym=Marcus-Gunn phenomenon] | Orphanet_91412[hasExactSynonym=Marcus-Gunn phenomenon]
marcusgunnsyndrome	MONDO_0007946[hasExactSynonym=Marcus Gunn syndrome] | MONDO_0007946[hasExactSynonym=Marcus-Gunn syndrome] | Orphanet_91412[label=Marcus-Gunn syndrome]
mardininyhansyndrome	MONDO_0011116[hasExactSynonym=Mardini-Nyhan syndrome] | Orphanet_1120[hasExactSynonym=Mardini--Nyhan syndrome]
marfanoidsyndromedesilvatype	MONDO_0009120[hasExactSynonym=marfanoid syndrome, De Silva type] | Orphanet_2464[label=Marfanoid syndrome, De Silva type]
marinescosjogrensyndrome	MONDO_0009567[hasExactSynonym=Marinesco-Sjogren syndrome] | MONDO_0009567[label=Marinesco-Sjogren syndrome] | Orphanet_559[label=Marinesco-Sjögren syndrome]
marshallsmithsyndrome	MONDO_0009567[hasExactSynonym=Marshall Smith Syndrome] | MONDO_0011244[hasExactSynonym=Marshall-Smith syndrome] | MONDO_0011244[label=Marshall-Smith syndrome]
martinprobstsyndrome	MONDO_0010353[hasExactSynonym=Martin-Probst syndrome] | Orphanet_85321[hasExactSynonym=Martin-Probst syndrome]
martsolfsyndrome	MONDO_0023910[label=Martsolf syndrome] | Orphanet_1387[hasExactSynonym=Martsolf syndrome]
mas	MONDO_0018919[hasExactSynonym=MAS] | EFO_1001037[hasExactSynonym=MAS] | EFO_1001806[hasExactSynonym=MAS]
masp1human	PR_P48740[hasExactSynonym=MASP-1 (human)] | gene_symbol_report?hgnc_id=6901[label=MASP1 (human)]
matdeficiency	MONDO_0009607[hasExactSynonym=MAT deficiency] | Orphanet_168598[hasExactSynonym=MAT deficiency]
maternalhyperphenylalaninemia	MONDO_0016366[hasExactSynonym=maternal hyperphenylalaninemia] | Orphanet_2209[label=Maternal hyperphenylalaninemia]
